         34439414 function calls (34116394 primitive calls) in 71.518 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6314    0.032    0.000    0.052    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/objects/commit.py:71(__init__)
    19008    0.052    0.000    0.052    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/base/base.py:530(allow_thread_sharing)
     1448    0.003    0.000    0.052    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/expressions.py:530(resolve_expression)
    39649    0.018    0.000    0.052    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/__init__.py:799(pre_save)
      894    0.003    0.000    0.051    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/nanops.py:849(nanargmax)
    37499    0.023    0.000    0.051    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1330(<genexpr>)
    71199    0.031    0.000    0.051    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/__init__.py:803(get_prep_value)
     5930    0.003    0.000    0.051    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexers/objective.py:493(get_tokens_unprocessed)
 4827/120    0.010    0.000    0.051    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/regexopt.py:78(<genexpr>)
    15136    0.034    0.000    0.051    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/postgresql/base.py:315(make_debug_cursor)
     2408    0.024    0.000    0.050    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/datastructures.py:61(as_sql)
      338    0.005    0.000    0.050    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/cmd.py:1079(stream_object_data)
    12322    0.024    0.000    0.050    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:1096(check_query_object_type)
     1954    0.005    0.000    0.050    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/expressions.py:649(copy)
     1448    0.011    0.000    0.049    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:1662(resolve_ref)
     3860    0.030    0.000    0.048    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:606(_extract_model_params)
   439914    0.048    0.000    0.048    0.000 {built-in method posix.fspath}
    48756    0.029    0.000    0.048    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/jpcntx.py:143(feed)
     2821    0.007    0.000    0.048    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:634(get_local_related_value)
     1501    0.006    0.000    0.047    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/indexing.py:2169(__getitem__)
      470    0.005    0.000    0.047    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/universaldetector.py:220(close)
    15136    0.028    0.000    0.047    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/postgresql/operations.py:231(last_executed_query)
     1954    0.007    0.000    0.047    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/aggregates.py:70(as_sql)
   137974    0.046    0.000    0.046    0.000 {built-in method _thread.get_ident}
     3860    0.015    0.000    0.046    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/base/operations.py:179(fetch_returned_insert_columns)
     4069    0.006    0.000    0.046    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/reverse_related.py:136(get_joining_columns)
     2353    0.045    0.000    0.045    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/contextlib.py:385(__init__)
    25761    0.039    0.000    0.045    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:734(table_alias)
     3834    0.013    0.000    0.045    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/selectors.py:365(unregister)
     4105    0.011    0.000    0.045    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/subqueries.py:172(__init__)
1883/1879    0.018    0.000    0.045    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexer.py:697(get_tokens_unprocessed)
   110353    0.044    0.000    0.044    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/sre_parse.py:233(__next)
        4    0.000    0.000    0.044    0.011 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:564(update_or_create)
     3804    0.007    0.000    0.044    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/reverse_related.py:169(get_path_info)
    21350    0.020    0.000    0.042    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/datastructures.py:128(__eq__)
    32590    0.042    0.000    0.042    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/enum.py:557(__new__)
      611    0.004    0.000    0.042    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/internals/managers.py:1467(__init__)
     2353    0.025    0.000    0.042    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/cmd.py:897(transform_kwargs)
    54752    0.042    0.000    0.042    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/dispatch/dispatcher.py:152(send)
     4707    0.026    0.000    0.042    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/contextlib.py:463(_push_exit_callback)
   187209    0.041    0.000    0.041    0.000 {method 'group' of 're.Match' objects}
     7060    0.041    0.000    0.041    0.000 {built-in method posix.pipe}
   157356    0.040    0.000    0.040    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:440(get_cache_name)
     4069    0.006    0.000    0.040    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:666(get_reverse_joining_columns)
   172621    0.040    0.000    0.040    0.000 {method 'find' of 'str' objects}
    10784    0.037    0.000    0.039    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:266(get_order_by)
     1954    0.016    0.000    0.039    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/expressions.py:628(as_sql)
    20711    0.039    0.000    0.039    0.000 {method 'append' of 'collections.deque' objects}
      592    0.017    0.000    0.039    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/charsetgroupprober.py:85(get_confidence)
      269    0.005    0.000    0.039    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:868(bump_prefix)
     9413    0.038    0.000    0.038    0.000 {built-in method posix.close}
11573/2353    0.025    0.000    0.038    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/cmd.py:909(__unpack_args)
   150801    0.038    0.000    0.038    0.000 {method 'items' of 'dict' objects}
     1589    0.000    0.000    0.038    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexer.py:765(do_insertions)
      612    0.003    0.000    0.038    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/internals/blocks.py:3027(make_block)
     2353    0.007    0.000    0.037    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/subprocess.py:1457(_get_handles)
     3804    0.027    0.000    0.037    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:882(get_reverse_path_info)
    24421    0.036    0.000    0.036    0.000 {method 'close' of 'psycopg2.extensions.cursor' objects}
      338    0.005    0.000    0.036    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/cmd.py:1054(__get_object_header)
      198    0.004    0.000    0.036    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/hebrewprober.py:196(feed)
     2817    0.016    0.000    0.036    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/copy.py:208(_deepcopy_tuple)
     1450    0.008    0.000    0.035    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py:522(__get__)
    78873    0.035    0.000    0.035    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:286(get_meta)
      198    0.003    0.000    0.034    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/sbcsgroupprober.py:44(__init__)
      241    0.002    0.000    0.034    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/nanops.py:460(nansum)
    17331    0.026    0.000    0.033    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/types.py:171(__get__)
    70442    0.022    0.000    0.033    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/sre_parse.py:164(__getitem__)
     1794    0.004    0.000    0.032    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/pathlib.py:926(__truediv__)
     9784    0.009    0.000    0.032    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexer.py:306(callback)
    15397    0.017    0.000    0.032    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/base/operations.py:324(compiler)
      676    0.026    0.000    0.032    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/util.py:652(_list_from_string)
       10    0.001    0.000    0.031    0.003 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexers/__init__.py:101(get_lexer_by_name)
     2354    0.012    0.000    0.031    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/subprocess.py:1759(_try_wait)
      269    0.007    0.000    0.031    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:829(change_aliases)
    19285    0.023    0.000    0.031    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/lookups.py:130(contains_aggregate)
     2353    0.015    0.000    0.031    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/warnings.py:165(simplefilter)
      198    0.001    0.000    0.030    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/charsetprober.py:61(filter_high_byte_only)
      338    0.010    0.000    0.030    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/objects/commit.py:445(_deserialize)
     1917    0.026    0.000    0.030    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/selectors.py:209(__init__)
     7202    0.005    0.000    0.030    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:2003(getLogger)
      894    0.010    0.000    0.030    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/indexing.py:2181(__setitem__)
    38160    0.030    0.000    0.030    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:664(<genexpr>)
     4105    0.012    0.000    0.030    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/postgresql/operations.py:249(bulk_insert_sql)
     3834    0.009    0.000    0.029    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/selectors.py:247(unregister)
   121836    0.029    0.000    0.029    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:985(join_parent_model)
     7728    0.026    0.000    0.029    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/postgresql/base.py:267(_set_autocommit)
   371434    0.029    0.000    0.029    0.000 {method 'isalpha' of 'bytearray' objects}
      338    0.005    0.000    0.029    0.000 /Users/ediaz/work/src/github.com/lnds/codice/developers/models.py:23(get_principal)
    29617    0.029    0.000    0.029    0.000 {built-in method sys.intern}
      868    0.029    0.000    0.029    0.000 {built-in method _thread.start_new_thread}
     4706    0.017    0.000    0.028    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/bin/../lib/python3.8/posixpath.py:150(dirname)
    12945    0.019    0.000    0.028    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     7668    0.028    0.000    0.028    0.000 {method 'fileno' of '_io.BufferedReader' objects}
     3764    0.011    0.000    0.028    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:39(seterr)
   167158    0.028    0.000    0.028    0.000 {method 'extend' of 'bytearray' objects}
     1794    0.005    0.000    0.028    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/pathlib.py:705(_make_child)
     3860    0.008    0.000    0.028    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/postgresql/operations.py:238(return_insert_columns)
    10784    0.017    0.000    0.027    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/datastructures.py:157(as_sql)
    20058    0.027    0.000    0.027    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/postgresql/operations.py:86(lookup_cast)
    19789    0.027    0.000    0.027    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/lookups.py:182(get_rhs_op)
      608    0.004    0.000    0.027    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2981(get_block_type)
      898    0.004    0.000    0.027    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/sre_compile.py:536(_compile_info)
      678    0.003    0.000    0.027    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:1901(populate)
    11760    0.027    0.000    0.027    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/util.py:541(__init__)
      235    0.002    0.000    0.026    0.000 <__array_function__ internals>:2(mean)
      608    0.002    0.000    0.026    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1524(maybe_cast_to_integer_array)
     1501    0.007    0.000    0.026    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/frame.py:2885(_get_value)
    22610    0.025    0.000    0.025    0.000 {built-in method _collections._count_elements}
    18377    0.020    0.000    0.025    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/mixins.py:22(set_cached_value)
     7202    0.011    0.000    0.025    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1272(getLogger)
     9121    0.012    0.000    0.025    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1708(_is_dtype_type)
9526/9285    0.016    0.000    0.025    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:1917(get_related_populators)
    59606    0.015    0.000    0.025    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/sre_parse.py:249(match)
      253    0.009    0.000    0.025    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/numpy/ma/core.py:934(__call__)
      691    0.024    0.000    0.024    0.000 {method 'readline' of '_io.BufferedReader' objects}
      338    0.003    0.000    0.024    0.000 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:245(__get_author)
    38639    0.024    0.000    0.024    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:763(unref_alias)
    12591    0.017    0.000    0.024    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query_utils.py:273(check_rel_lookup_compatibility)
    57160    0.018    0.000    0.024    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/bin/../lib/python3.8/posixpath.py:41(_get_sep)
    39586    0.024    0.000    0.024    0.000 {method 'update' of 'set' objects}
    23937    0.024    0.000    0.024    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1677(isEnabledFor)
     9526    0.016    0.000    0.024    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1068(deferred_to_columns)
      235    0.004    0.000    0.024    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3231(mean)
     5148    0.006    0.000    0.024    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/charsetprober.py:39(__init__)
      820    0.005    0.000    0.024    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/__init__.py:1373(get_db_prep_value)
      506    0.001    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:891(all)
9029/1676    0.017    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/sre_parse.py:174(getwidth)
    46657    0.023    0.000    0.023    0.000 {method 'pop' of 'list' objects}
     5572    0.005    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/dtypes/base.py:247(is_dtype)
   152462    0.023    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/chardistribution.py:70(feed)
    38332    0.023    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/utils/tree.py:60(__bool__)
   124059    0.023    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/__init__.py:409(select_format)
     4113    0.010    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/utils.py:37(__exit__)
    60884    0.023    0.000    0.023    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/base_events.py:654(is_running)
    19793    0.019    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:1260(<setcomp>)
    10784    0.017    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:686(get_distinct)
     1954    0.004    0.000    0.023    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/aggregates.py:24(__init__)
    61351    0.022    0.000    0.022    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/utils.py:69(__exit__)
      608    0.001    0.000    0.022    0.000 <__array_function__ internals>:2(array_equal)
    21350    0.016    0.000    0.022    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/datastructures.py:119(equals)
      868    0.005    0.000    0.022    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:505(__init__)
   123790    0.022    0.000    0.022    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/base/operations.py:558(get_db_converters)
      205    0.007    0.000    0.022    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygount/analysis.py:334(encoding_for)
      607    0.001    0.000    0.021    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/indexing.py:1816(_validate_key)
     2353    0.016    0.000    0.021    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/bin/../lib/python3.8/_collections_abc.py:672(keys)
    60884    0.021    0.000    0.021    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/events.py:719(get_event_loop_policy)
      676    0.018    0.000    0.021    0.000 {built-in method posix.stat}
     1327    0.021    0.000    0.021    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    74947    0.021    0.000    0.021    0.000 {built-in method builtins.issubclass}
     2829    0.008    0.000    0.021    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:640(get_instance_value_for_fields)
     2772    0.004    0.000    0.021    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/sbcharsetprober.py:39(__init__)
     4609    0.009    0.000    0.021    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/base.py:575(get_deferred_fields)
      201    0.003    0.000    0.021    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygount/analysis.py:240(matching_number_line_and_regex)
     6652    0.019    0.000    0.021    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/objects/base.py:29(__init__)
     2958    0.002    0.000    0.021    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexer.py:359(callback)
   118044    0.020    0.000    0.020    0.000 {method 'rstrip' of 'str' objects}
     1446    0.008    0.000    0.020    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py:559(__init__)
     3731    0.004    0.000    0.020    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/dtypes/common.py:403(is_datetime64tz_dtype)
     1135    0.002    0.000    0.020    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/nanops.py:189(_maybe_get_mask)
      607    0.007    0.000    0.020    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1209(maybe_cast_to_datetime)
     1882    0.003    0.000    0.020    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:441(__enter__)
     2821    0.014    0.000    0.020    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:626(local_related_fields)
      338    0.000    0.000    0.020    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/objects/commit.py:148(authored_datetime)
     3834    0.020    0.000    0.020    0.000 {method 'join' of 'bytes' objects}
     2356    0.020    0.000    0.020    0.000 {built-in method posix.waitpid}
      435    0.003    0.000    0.020    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/util.py:325(finalize_process)
    30272    0.020    0.000    0.020    0.000 {built-in method time.monotonic}
      338    0.005    0.000    0.019    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/objects/util.py:124(from_timestamp)
      607    0.007    0.000    0.019    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1088(maybe_castable)
      608    0.008    0.000    0.019    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/numpy/core/numeric.py:2287(array_equal)
     3860    0.011    0.000    0.019    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/postgresql/operations.py:241(<listcomp>)
      235    0.006    0.000    0.019    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/numpy/core/_methods.py:134(_mean)
      423    0.001    0.000    0.019    0.000 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/pathlib.py:1186(stat)
      869    0.007    0.000    0.019    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/cmd.py:387(wait)
