         34439414 function calls (34116394 primitive calls) in 71.518 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15136    0.089    0.000    6.311    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/utils.py:79(_execute)
    15136    6.025    0.000    6.204    0.000 {method 'execute' of 'psycopg2.extensions.cursor' objects}
    44707    0.100    0.000    5.884    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py:155(__get__)
     2817    0.035    0.000    5.604    0.002 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py:150(get_object)
    19793    0.496    0.000    5.479    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:1203(build_filter)
      265    0.005    0.000    5.171    0.020 /Users/ediaz/work/src/github.com/lnds/codice/files/models.py:112(calc_temporal_coupling)
      265    0.062    0.000    5.166    0.019 /Users/ediaz/work/src/github.com/lnds/codice/files/models.py:115(get_coupled_files)
      434    0.035    0.000    5.094    0.012 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/diff.py:71(diff)
     1372    0.037    0.000    4.744    0.003 /Users/ediaz/work/src/github.com/lnds/codice/analytics/analyzer.py:305(__process_file_change)
     2128    0.006    0.000    4.712    0.002 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:261(__iter__)
     4609    0.079    0.000    4.329    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/base.py:662(save)
     4609    0.078    0.000    4.064    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/base.py:749(save_base)
     4101    0.040    0.000    3.941    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:426(create)
     4609    0.058    0.000    3.926    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/base.py:828(_save_table)
        4    0.032    0.008    3.884    0.971 /Users/ediaz/work/src/github.com/lnds/codice/analytics/blames.py:17(update_blame_object)
192527/147475    0.309    0.000    3.781    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:417(compile)
60884/30596    0.246    0.000    3.582    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/utils/asyncio.py:14(inner)
      235    0.038    0.000    3.524    0.015 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygount/analysis.py:472(source_analysis)
    10784    0.088    0.000    3.518    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:45(pre_sql_setup)
      434    0.010    0.000    3.221    0.007 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/diff.py:472(_index_from_raw_format)
      434    0.050    0.000    3.209    0.007 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/git/cmd.py:59(handle_process_output)
    10784    0.090    0.000    3.128    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:39(setup_query)
     2353    3.074    0.001    3.074    0.001 {built-in method _posixsubprocess.fork_exec}
